signal_date,holding_days,event_type,classification_reason,future_index_return,future_abs_return,future_gap_return_next_open,future_rv_5d,signal_rv20,rv_expansion_ratio,call_leg_pnl,put_leg_pnl,straddle_return,iv_change
2024-07-23,5,noise_theta_decay,muted realized move or negative straddle return,0.0016057457450313,0.0016057457450313,-0.0027457146797545,0.1654690883760766,0.2697808666068261,0.6133462704648671,-15.0,-45.19999999999999,-0.2481636581282236,
2024-07-24,1,noise_theta_decay,muted realized move or negative straddle return,0.0003359093654515,0.0003359093654515,-0.0061278194733758,0.2718496098579241,0.2488040560201364,1.092625314098266,6.799999999999997,-9.599999999999994,-0.0216668138596954,
2024-07-24,3,noise_theta_decay,muted realized move or negative straddle return,0.0117975532384277,0.0117975532384277,-0.0061278194733758,0.2718496098579241,0.2488040560201364,1.092625314098266,19.0,-54.39999999999999,-0.1580811075644599,
2024-07-24,5,up_shock,positive future return with dominant call leg,0.0557264049744992,0.0557264049744992,-0.0061278194733758,0.2718496098579241,0.2488040560201364,1.092625314098266,203.39999999999998,-120.8,0.3356884217963439,
2024-07-25,1,noise_theta_decay,muted realized move or negative straddle return,0.0150053532958305,0.0150053532958305,0.0012402195957588,0.2785674579675939,0.2481281489081085,1.1226757592535712,31.19999999999999,-44.39999999999999,-0.0663779547856572,
2024-07-25,3,noise_theta_decay,muted realized move or negative straddle return,0.015094159356626,0.015094159356626,0.0012402195957588,0.2785674579675939,0.2481281489081085,1.1226757592535712,13.0,-52.599999999999994,-0.1792333668445337,
2024-07-25,5,up_shock,positive future return with dominant call leg,0.0530423663408881,0.0530423663408881,0.0012402195957588,0.2785674579675939,0.2481281489081085,1.1226757592535712,167.2,-106.0,0.2516691155620861,
2024-07-26,1,trend_vol_expansion,future RV expanded versus signal RV20,-0.0034951128011433,0.0034951128011433,0.0011055745542398,0.3215090759920987,0.2302681661972819,1.3962376185192975,-19.799999999999997,22.200000000000003,0.0018594898272062,
2024-07-26,3,up_shock,positive future return with dominant call leg,0.0397697827344496,0.0397697827344496,0.0011055745542398,0.3215090759920987,0.2302681661972819,1.3962376185192975,130.6,-80.2,0.2380542614957025,
2024-07-26,5,trend_vol_expansion,future RV expanded versus signal RV20,0.0229279595413094,0.0229279595413094,0.0011055745542398,0.3215090759920987,0.2302681661972819,1.3962376185192975,53.0,-60.400000000000006,-0.0463636093884451,
2024-07-29,1,trend_vol_expansion,future RV expanded versus signal RV20,0.0035951715256661,0.0035951715256661,-0.0022881158086707,0.3964410396356188,0.2153289511819293,1.8410949268994008,10.0,-25.599999999999994,-0.0850707551735484,
